"Measurement outcome","Frequency"
"0x0","10"
"0x1","19"
"0x10","20"
"0x100","21"
"0x101","17"
"0x102","10"
"0x103","22"
"0x104","13"
"0x105","26"
"0x106","13"
"0x107","8"
"0x108","18"
"0x109","27"
"0x10a","8"
"0x10b","14"
"0x10c","23"
"0x10d","17"
"0x10e","15"
"0x10f","16"
"0x11","7"
"0x110","13"
"0x111","14"
"0x112","21"
"0x113","12"
"0x114","23"
"0x115","16"
"0x116","20"
"0x117","15"
"0x118","10"
"0x119","10"
"0x11a","9"
"0x11b","10"
"0x11c","21"
"0x11d","17"
"0x11e","16"
"0x11f","18"
"0x12","15"
"0x121","1"
"0x13","13"
"0x14","9"
"0x140","20"
"0x141","2"
"0x142","8"
"0x143","17"
"0x144","6"
"0x145","31"
"0x146","28"
"0x147","7"
"0x148","8"
"0x149","22"
"0x14a","21"
"0x14b","16"
"0x14c","27"
"0x14d","13"
"0x14e","10"
"0x14f","14"
"0x15","19"
"0x150","17"
"0x151","19"
"0x152","16"
"0x153","9"
"0x154","11"
"0x155","11"
"0x156","13"
"0x157","21"
"0x158","24"
"0x159","8"
"0x15a","12"
"0x15b","16"
"0x15c","10"
"0x15d","12"
"0x15e","19"
"0x15f","9"
"0x16","17"
"0x165","1"
"0x17","9"
"0x18","12"
"0x180","8"
"0x181","8"
"0x182","16"
"0x183","7"
"0x184","10"
"0x185","19"
"0x186","12"
"0x187","15"
"0x188","17"
"0x189","9"
"0x18a","6"
"0x18b","7"
"0x18c","10"
"0x18d","10"
"0x18e","17"
"0x18f","13"
"0x19","14"
"0x190","12"
"0x191","1"
"0x192","12"
"0x193","17"
"0x194","12"
"0x195","23"
"0x196","14"
"0x197","3"
"0x198","6"
"0x199","4"
"0x19a","14"
"0x19b","12"
"0x19c","11"
"0x19d","11"
"0x19e","4"
"0x19f","8"
"0x1a","15"
"0x1b","16"
"0x1c","25"
"0x1c0","11"
"0x1c1","8"
"0x1c2","8"
"0x1c3","10"
"0x1c4","13"
"0x1c5","12"
"0x1c6","11"
"0x1c7","14"
"0x1c8","6"
"0x1c9","9"
"0x1ca","10"
"0x1cb","8"
"0x1cc","9"
"0x1cd","8"
"0x1ce","24"
"0x1cf","20"
"0x1d","7"
"0x1d0","12"
"0x1d1","3"
"0x1d2","16"
"0x1d3","13"
"0x1d4","10"
"0x1d5","14"
"0x1d6","10"
"0x1d7","2"
"0x1d8","1"
"0x1d9","6"
"0x1da","18"
"0x1db","4"
"0x1dc","12"
"0x1dd","7"
"0x1de","7"
"0x1df","9"
"0x1e","7"
"0x1ee","1"
"0x1f","13"
"0x1f1","1"
"0x2","14"
"0x200","21"
"0x201","22"
"0x202","13"
"0x203","18"
"0x204","16"
"0x205","16"
"0x206","19"
"0x207","14"
"0x208","23"
"0x209","24"
"0x20a","21"
"0x20b","22"
"0x20c","11"
"0x20d","18"
"0x20e","21"
"0x20f","15"
"0x210","22"
"0x211","37"
"0x212","24"
"0x213","24"
"0x214","37"
"0x215","21"
"0x216","26"
"0x217","26"
"0x218","34"
"0x219","23"
"0x21a","16"
"0x21b","22"
"0x21c","18"
"0x21d","32"
"0x21e","47"
"0x21f","16"
"0x221","1"
"0x233","1"
"0x240","24"
"0x241","19"
"0x242","13"
"0x243","29"
"0x244","14"
"0x245","20"
"0x246","19"
"0x247","14"
"0x248","11"
"0x249","29"
"0x24a","22"
"0x24b","22"
"0x24c","12"
"0x24d","14"
"0x24e","14"
"0x24f","19"
"0x250","16"
"0x251","28"
"0x252","30"
"0x253","30"
"0x254","34"
"0x255","21"
"0x256","26"
"0x257","35"
"0x258","33"
"0x259","20"
"0x25a","16"
"0x25b","24"
"0x25c","16"
"0x25d","37"
"0x25e","44"
"0x25f","20"
"0x262","1"
"0x26a","1"
"0x26e","1"
"0x271","1"
"0x274","1"
"0x280","6"
"0x281","33"
"0x282","22"
"0x283","17"
"0x284","40"
"0x285","15"
"0x286","18"
"0x287","18"
"0x288","24"
"0x289","16"
"0x28a","9"
"0x28b","29"
"0x28c","16"
"0x28d","25"
"0x28e","16"
"0x28f","11"
"0x290","10"
"0x291","5"
"0x292","14"
"0x293","18"
"0x294","7"
"0x295","13"
"0x296","13"
"0x297","16"
"0x298","8"
"0x299","11"
"0x29a","22"
"0x29b","10"
"0x29c","13"
"0x29d","7"
"0x29e","7"
"0x29f","14"
"0x2a3","1"
"0x2a4","1"
"0x2ab","1"
"0x2b","1"
"0x2c0","14"
"0x2c1","23"
"0x2c2","25"
"0x2c3","12"
"0x2c4","37"
"0x2c5","19"
"0x2c6","17"
"0x2c7","23"
"0x2c8","20"
"0x2c9","7"
"0x2ca","16"
"0x2cb","23"
"0x2cc","9"
"0x2cd","22"
"0x2ce","21"
"0x2cf","13"
"0x2d0","9"
"0x2d1","20"
"0x2d2","15"
"0x2d3","18"
"0x2d4","10"
"0x2d5","13"
"0x2d6","8"
"0x2d7","13"
"0x2d8","12"
"0x2d9","6"
"0x2da","22"
"0x2db","18"
"0x2dc","14"
"0x2dd","11"
"0x2de","17"
"0x2df","5"
"0x2e5","1"
"0x2f8","1"
"0x3","17"
"0x300","20"
"0x301","21"
"0x302","20"
"0x303","18"
"0x304","16"
"0x305","17"
"0x306","13"
"0x307","16"
"0x308","15"
"0x309","28"
"0x30a","14"
"0x30b","11"
"0x30c","27"
"0x30d","11"
"0x30e","14"
"0x30f","26"
"0x31","1"
"0x310","28"
"0x311","29"
"0x312","22"
"0x313","18"
"0x314","25"
"0x315","32"
"0x316","36"
"0x317","31"
"0x318","36"
"0x319","35"
"0x31a","20"
"0x31b","21"
"0x31c","30"
"0x31d","33"
"0x31e","35"
"0x31f","36"
"0x329","1"
"0x335","1"
"0x340","14"
"0x341","13"
"0x342","21"
"0x343","21"
"0x344","16"
"0x345","10"
"0x346","10"
"0x347","19"
"0x348","21"
"0x349","29"
"0x34a","16"
"0x34b","16"
"0x34c","14"
"0x34d","17"
"0x34e","22"
"0x34f","28"
"0x350","29"
"0x351","32"
"0x352","14"
"0x353","31"
"0x354","18"
"0x355","17"
"0x356","37"
"0x357","27"
"0x358","24"
"0x359","39"
"0x35a","25"
"0x35b","20"
"0x35c","37"
"0x35d","24"
"0x35e","21"
"0x35f","31"
"0x36e","1"
"0x372","1"
"0x380","25"
"0x381","13"
"0x382","12"
"0x383","22"
"0x384","14"
"0x385","26"
"0x386","29"
"0x387","6"
"0x388","23"
"0x389","34"
"0x38a","18"
"0x38b","16"
"0x38c","18"
"0x38d","16"
"0x38e","16"
"0x38f","30"
"0x390","11"
"0x391","5"
"0x392","14"
"0x393","7"
"0x394","19"
"0x395","11"
"0x396","13"
"0x397","15"
"0x398","12"
"0x399","11"
"0x39a","10"
"0x39b","23"
"0x39c","8"
"0x39d","11"
"0x39e","11"
"0x39f","6"
"0x3a1","1"
"0x3c0","26"
"0x3c1","9"
"0x3c2","17"
"0x3c3","23"
"0x3c4","12"
"0x3c5","23"
"0x3c6","25"
"0x3c7","14"
"0x3c8","12"
"0x3c9","20"
"0x3ca","20"
"0x3cb","21"
"0x3cc","33"
"0x3cd","14"
"0x3ce","13"
"0x3cf","26"
"0x3d0","9"
"0x3d1","10"
"0x3d2","18"
"0x3d3","10"
"0x3d4","15"
"0x3d5","3"
"0x3d6","5"
"0x3d7","7"
"0x3d8","8"
"0x3d9","12"
"0x3da","19"
"0x3db","21"
"0x3dc","6"
"0x3dd","23"
"0x3de","10"
"0x3df","7"
"0x3ec","1"
"0x3ed","1"
"0x4","20"
"0x40","6"
"0x41","23"
"0x42","20"
"0x43","12"
"0x44","20"
"0x45","7"
"0x46","11"
"0x47","21"
"0x48","14"
"0x49","7"
"0x4a","8"
"0x4b","20"
"0x4c","13"
"0x4d","23"
"0x4e","20"
"0x4f","5"
"0x5","8"
"0x50","25"
"0x51","9"
"0x52","8"
"0x53","20"
"0x54","11"
"0x55","22"
"0x56","22"
"0x57","9"
"0x58","16"
"0x59","18"
"0x5a","13"
"0x5b","7"
"0x5c","18"
"0x5d","8"
"0x5e","9"
"0x5f","15"
"0x6","18"
"0x6c","1"
"0x7","17"
"0x8","21"
"0x80","7"
"0x81","6"
"0x82","14"
"0x83","13"
"0x84","8"
"0x85","16"
"0x86","14"
"0x87","12"
"0x88","7"
"0x89","7"
"0x8a","11"
"0x8b","9"
"0x8c","12"
"0x8d","12"
"0x8e","10"
"0x8f","20"
"0x9","12"
"0x90","6"
"0x91","18"
"0x92","14"
"0x93","14"
"0x94","5"
"0x95","9"
"0x96","9"
"0x97","16"
"0x98","9"
"0x99","7"
"0x9a","14"
"0x9b","11"
"0x9c","7"
"0x9d","7"
"0x9e","11"
"0x9f","6"
"0xa","15"
"0xb","18"
"0xc","19"
"0xc0","9"
"0xc1","6"
"0xc2","13"
"0xc3","18"
"0xc4","11"
"0xc5","12"
"0xc6","12"
"0xc7","15"
"0xc8","11"
"0xc9","10"
"0xca","4"
"0xcb","10"
"0xcc","9"
"0xcd","11"
"0xce","14"
"0xcf","13"
"0xd","24"
"0xd0","3"
"0xd1","10"
"0xd2","8"
"0xd3","5"
"0xd4","4"
"0xd5","11"
"0xd6","4"
"0xd7","11"
"0xd8","4"
"0xd9","7"
"0xda","10"
"0xdb","8"
"0xdc","16"
"0xdd","4"
"0xde","9"
"0xdf","4"
"0xe","24"
"0xf","10"
