"Measurement outcome","Frequency"
"0x100300","1"
"0x10070a","1"
"0x100a26","1"
"0x100e48","1"
"0x102858","1"
"0x1029c0","1"
"0x10425a","1"
"0x104756","1"
"0x104d80","1"
"0x104e2a","1"
"0x106828","1"
"0x10839a","1"
"0x108520","1"
"0x108b9e","1"
"0x10ab8a","1"
"0x10c162","1"
"0x10ce28","1"
"0x10df2","1"
"0x10e15a","1"
"0x10e466","1"
"0x10f8a","1"
"0x110262","1"
"0x110568","1"
"0x110620","1"
"0x1106c8","1"
"0x110d66","1"
"0x110d68","1"
"0x11212e","1"
"0x112204","1"
"0x112ce2","1"
"0x11406e","1"
"0x114102","1"
"0x1145a0","1"
"0x1161f1","1"
"0x116562","1"
"0x116e3a","1"
"0x11867a","1"
"0x1187a2","1"
"0x118d16","1"
"0x11a08c","1"
"0x11a4e0","1"
"0x11a4f2","1"
"0x11a7d0","1"
"0x11aaf2","1"
"0x11c266","1"
"0x11c6f2","1"
"0x11c738","1"
"0x11ca6a","1"
"0x11e534","1"
"0x11e5f0","1"
"0x11eabc","1"
"0x11eb2a","1"
"0x11ed72","1"
"0x11edd2","1"
"0x11ee56","1"
"0x12062e","1"
"0x120736","1"
"0x1208a0","1"
"0x120b28","1"
"0x120bc8","1"
"0x120d98","1"
"0x122010","1"
"0x122090","1"
"0x12310","1"
"0x124106","1"
"0x124ed0","1"
"0x126e34","1"
"0x126f6a","1"
"0x12720","1"
"0x127aa","1"
"0x128b92","1"
"0x128cb8","1"
"0x12ae74","1"
"0x12c530","1"
"0x130422","1"
"0x1305e8","1"
"0x130916","1"
"0x132066","1"
"0x132324","1"
"0x1346c2","1"
"0x134806","1"
"0x134936","1"
"0x134a84","1"
"0x134f60","1"
"0x134f94","1"
"0x136caa","1"
"0x1380cc","1"
"0x13820a","1"
"0x138f54","1"
"0x13a15a","1"
"0x13a1d6","1"
"0x13a87c","1"
"0x13ab54","1"
"0x13ad06","1"
"0x13c1e2","1"
"0x13cf7a","1"
"0x13e140","1"
"0x13e45e","1"
"0x13e8cc","1"
"0x13ea52","1"
"0x1405b2","1"
"0x1408de","1"
"0x140a78","1"
"0x140ba2","1"
"0x14223a","1"
"0x142584","1"
"0x1443c1","1"
