JobId,SessionId,Status,Reason,Created,Completed,Program,Name,Service,Instance,Tags,Usage (seconds)
cry0hsqfr8rg008qnf80,,Completed,,2024-05-08T23:21:10.79721Z,2024-05-09T07:04:51.723Z,sampler,,ibm_osaka,ibm-q/open/main,,21
crxvqbn144d00085gxng,,Completed,,2024-05-08T17:51:42.540053Z,2024-05-08T18:07:56.734Z,sampler,,ibm_osaka,ibm-q/open/main,,20
crxvpc9arde0008gf8w0,,Completed,,2024-05-08T17:49:37.581215Z,2024-05-08T18:07:05.167Z,sampler,,ibm_osaka,ibm-q/open/main,,20
crxvpasarde0008gf8tg,,Completed,,2024-05-08T17:49:31.77941Z,2024-05-08T18:06:00.249Z,sampler,,ibm_osaka,ibm-q/open/main,,21
crxvp99vmeyg008mnvw0,,Completed,,2024-05-08T17:49:25.822451Z,2024-05-08T17:50:47.108Z,sampler,,ibm_osaka,ibm-q/open/main,,20
crxthsqp5z00008jvv90,,Completed,,2024-05-08T16:31:34.827157Z,2024-05-08T17:48:50.896Z,sampler,,ibm_osaka,ibm-q/open/main,,20
crxthppfr8rg008qmtz0,,Completed,,2024-05-08T16:31:22.887006Z,2024-05-08T17:48:03.468Z,sampler,,ibm_osaka,ibm-q/open/main,,20
crxthmyp5z00008jvv70,,Completed,,2024-05-08T16:31:15.620015Z,2024-05-08T17:47:56.604Z,sampler,,ibm_osaka,ibm-q/open/main,,19
crxt8mtp5z00008jvt3g,,Completed,,2024-05-08T16:12:03.997192Z,2024-05-08T16:23:35.532Z,sampler,,ibm_osaka,ibm-q/open/main,,19
crxt8jtvmeyg008mnp4g,,Completed,,2024-05-08T16:11:55.997292Z,2024-05-08T16:23:26.742Z,sampler,,ibm_osaka,ibm-q/open/main,,21
crxt4j2144d00085gpxg,,Completed,,2024-05-08T16:03:20.251293Z,2024-05-08T16:22:37.535Z,sampler,,ibm_osaka,ibm-q/open/main,,21
cqk7g1gffav0008837w0,,Completed,,2024-03-05T01:40:22.754791Z,2024-03-05T01:43:26.993Z,sampler,,ibm_osaka,ibm-q/open/main,,20
cqk7ftqth9b00084h2vg,,Completed,,2024-03-05T01:39:55.095671Z,2024-03-05T01:43:09.235Z,sampler,,ibm_osaka,ibm-q/open/main,,20
cqk7fjpj3bz00085dzp0,,Completed,,2024-03-05T01:39:22.35296Z,2024-03-05T01:43:03.477Z,sampler,,ibm_osaka,ibm-q/open/main,,20
cqk37hy59d1g008jz9g0,,Completed,,2024-03-04T20:49:11.981145Z,2024-03-04T22:10:11.067Z,sampler,,ibm_osaka,ibm-q/open/main,,20
cqk36naj3bz00085d970,,Completed,,2024-03-04T20:47:17.130836Z,2024-03-04T22:10:07.423Z,sampler,,ibm_osaka,ibm-q/open/main,,19
cqk35ex59d1g008jz9e0,,Completed,,2024-03-04T20:44:43.310245Z,2024-03-04T22:10:06.239Z,sampler,,ibm_osaka,ibm-q/open/main,,21
cqk3534bmw7g008nsgsg,,Completed,,2024-03-04T20:43:56.62076Z,2024-03-04T20:47:38.451Z,sampler,,ibm_osaka,ibm-q/open/main,,19
