"Measurement outcome","Frequency"
"0x1000d4","1"
"0x1000d6","1"
"0x1000fc","1"
"0x100112","1"
"0x10018","1"
"0x100192","1"
"0x1003c","1"
"0x1003d0","1"
"0x10055a","1"
"0x100596","1"
"0x10059e","1"
"0x1006","1"
"0x10075a","1"
"0x1009a","1"
"0x101258","1"
"0x10131c","1"
"0x101332","1"
"0x1014f8","1"
"0x101546","1"
"0x10158c","1"
"0x1020f8","1"
"0x102116","1"
"0x10262c","1"
"0x1027d0","1"
"0x10299","1"
"0x102ae","1"
"0x1033d2","1"
"0x10343c","1"
"0x10357e","1"
"0x1036f8","1"
"0x1037e0","1"
"0x103e4","1"
"0x1043e2","1"
"0x1045b6","1"
"0x1045c6","1"
"0x10463a","1"
"0x10465a","1"
"0x10473a","1"
"0x104b0","1"
"0x1050a0","1"
"0x105156","1"
"0x105198","1"
"0x1052ac","1"
"0x105322","1"
"0x10538e","1"
"0x105536","1"
"0x1055d6","1"
"0x1061f2","1"
"0x1062ac","1"
"0x10633e","1"
"0x10635a","1"
"0x1063b0","1"
"0x106478","1"
"0x106736","1"
"0x10690a","1"
"0x106e","1"
"0x107126","1"
"0x1072","1"
"0x107218","1"
"0x107290","1"
"0x1072e","1"
"0x1072f8","1"
"0x1073b6","1"
"0x107404","1"
"0x108076","1"
"0x1081da","1"
"0x108452","1"
"0x1084fa","1"
"0x1084fc","1"
"0x108517","1"
"0x108548","1"
"0x10858c","1"
"0x108602","1"
"0x1086ba","1"
"0x1086d0","1"
"0x1087d8","1"
"0x1090ea","1"
"0x109110","1"
"0x10929a","1"
"0x10973e","1"
"0x10a086","1"
"0x10a2fc","1"
"0x10a3aa","1"
"0x10a3d4","1"
"0x10a636","1"
"0x10b096","1"
"0x10b1d4","1"
"0x10b442","1"
"0x10b4ea","1"
"0x10b52e","1"
"0x10b562","1"
"0x10b572","1"
"0x10c0b4","1"
"0x10c226","1"
"0x10c2ac","1"
"0x10c3f8","1"
"0x10c460","1"
"0x10c4d2","1"
"0x10c4f2","1"
"0x10c516","1"
"0x10c532","1"
"0x10c596","1"
"0x10c5a6","1"
"0x10c5ea","1"
"0x10d3b0","1"
"0x10d3ca","1"
"0x10d3f0","1"
"0x10d430","1"
"0x10d52e","1"
"0x10d5d6","1"
"0x10d69e","1"
"0x10d774","1"
"0x10e378","1"
"0x10e3b9","1"
"0x10e412","1"
"0x10e5d0","1"
"0x10e70c","1"
"0x10e7f6","1"
"0x10f060","1"
"0x10f1dc","1"
"0x10f254","1"
"0x10f27e","1"
"0x10f2f4","1"
"0x10f4","1"
"0x10f4be","1"
"0x10f652","1"
"0x10f6b8","1"
"0x10f732","1"
"0x110012","1"
"0x110096","1"
"0x11011e","1"
"0x11013c","1"
"0x1101d2","1"
"0x11020a","1"
"0x11024e","1"
"0x1102e4","1"
"0x11037e","1"
"0x110390","2"
"0x1103a6","1"
"0x110446","1"
"0x11050f","1"
"0x110550","1"
"0x1105de","1"
"0x11064c","1"
"0x110684","1"
"0x110730","1"
"0x1107ae","1"
"0x1107e6","1"
"0x1107f8","1"
"0x1109c","1"
"0x111156","1"
"0x1111b4","1"
"0x111390","1"
"0x111400","1"
"0x111596","1"
"0x111642","1"
"0x111708","1"
"0x111ba","1"
"0x11219e","1"
"0x1121a4","1"
"0x1121b0","1"
"0x1121b8","1"
"0x112268","1"
"0x11229c","1"
"0x1122d4","1"
"0x11230","1"
"0x1123b0","1"
"0x1123fc","1"
"0x11247a","1"
"0x112496","1"
"0x11249c","1"
"0x1124c0","1"
"0x1124cc","1"
"0x112518","1"
"0x11257a","1"
"0x1125b4","1"
"0x11266a","1"
"0x11272a","1"
"0x11310","1"
"0x11311c","1"
"0x1131c","1"
"0x11333c","1"
"0x1133dc","1"
"0x1133fe","1"
"0x113448","1"
"0x11354e","1"
"0x113748","1"
"0x1137a0","1"
